season,start_year,position,team,played,won,draw,lost,goals,goals_against,goal_diff,points,points_2pt,points_3pt
1981/1982,1982,16,Bayer 04 Leverkusen,34,9,7,18,45,72,-27,25,25,34
1981/1982,1982,17,SV Darmstadt 98,34,5,11,18,46,82,-36,21,21,26
1981/1982,1982,18,MSV Duisburg,34,8,3,23,40,77,-37,19,19,27
1982/1983,1983,1,Hamburger SV,34,20,12,2,79,33,46,52,52,72
1982/1983,1983,2,SV Werder Bremen,34,23,6,5,76,38,38,52,52,75
1982/1983,1983,3,VfB Stuttgart,34,20,8,6,80,47,33,48,48,68
1982/1983,1983,4,Bayern München,34,17,10,7,74,33,41,44,44,61
1982/1983,1983,5,1. FC Köln,34,17,9,8,69,42,27,43,43,60
1982/1983,1983,6,1. FC Kaiserslautern,34,14,13,7,57,44,13,41,41,55
1982/1983,1983,7,Borussia Dortmund,34,16,7,11,78,62,16,39,39,55
1982/1983,1983,8,Arminia Bielefeld,34,12,7,15,46,71,-25,31,31,43
1982/1983,1983,9,Fortuna Düsseldorf,34,11,8,15,63,75,-12,30,30,41
1982/1983,1983,10,Eintracht Frankfurt,34,12,5,17,48,57,-9,29,29,41
1982/1983,1983,11,Bayer 04 Leverkusen,34,10,9,15,43,66,-23,29,29,39
1982/1983,1983,12,Borussia Mönchengladbach,34,12,4,18,64,63,1,28,28,40
1982/1983,1983,13,VfL Bochum,34,8,12,14,43,49,-6,28,28,36
1982/1983,1983,14,1. FC Nürnberg,34,11,6,17,44,70,-26,28,28,39
1982/1983,1983,15,Eintracht Braunschweig,34,8,11,15,42,65,-23,27,27,35
1982/1983,1983,16,FC Schalke 04,34,8,6,20,48,68,-20,22,22,30
1982/1983,1983,17,Karlsruher SC,34,7,7,20,39,86,-47,21,21,28
1982/1983,1983,18,Hertha BSC,34,5,10,19,43,67,-24,20,20,25
1983/1984,1984,1,VfB Stuttgart,34,19,10,5,79,33,46,48,48,67
1983/1984,1984,2,Hamburger SV,34,21,6,7,75,36,39,48,48,69
1983/1984,1984,3,Borussia Mönchengladbach,34,21,6,7,81,48,33,48,48,69
1983/1984,1984,4,Bayern München,34,20,7,7,84,41,43,47,47,67
1983/1984,1984,5,SV Werder Bremen,34,19,7,8,79,46,33,45,45,64
1983/1984,1984,6,1. FC Köln,34,16,6,12,70,57,13,38,38,54
1983/1984,1984,7,Bayer 04 Leverkusen,34,13,8,13,50,50,0,34,34,47
1983/1984,1984,8,Arminia Bielefeld,34,12,9,13,40,49,-9,33,33,45
1983/1984,1984,9,Eintracht Braunschweig,34,13,6,15,54,69,-15,32,32,45
1983/1984,1984,10,FC Uerdingen 05,34,12,7,15,66,79,-13,31,31,43
1983/1984,1984,11,SV Waldhof Mannheim,34,10,11,13,45,58,-13,31,31,41
1983/1984,1984,12,1. FC Kaiserslautern,34,12,6,16,68,69,-1,30,30,42
1983/1984,1984,13,Borussia Dortmund,34,11,8,15,54,65,-11,30,30,41
1983/1984,1984,14,Fortuna Düsseldorf,34,11,7,16,63,75,-12,29,29,40
1983/1984,1984,15,VfL Bochum,34,10,8,16,58,70,-12,28,28,38
1983/1984,1984,16,Eintracht Frankfurt,34,7,13,14,45,61,-16,27,27,34
1983/1984,1984,17,Kickers Offenbach,34,7,5,22,48,106,-58,19,19,26
1983/1984,1984,18,1. FC Nürnberg,34,6,2,26,38,85,-47,14,14,20
1984/1985,1985,1,Bayern München,34,21,8,5,79,38,41,50,50,71
1984/1985,1985,2,SV Werder Bremen,34,18,10,6,87,51,36,46,46,64
1984/1985,1985,3,1. FC Köln,34,18,4,12,69,66,3,40,40,58
1984/1985,1985,4,Borussia Mönchengladbach,34,15,9,10,77,53,24,39,39,54
1984/1985,1985,5,Hamburger SV,34,14,9,11,58,49,9,37,37,51
1984/1985,1985,6,SV Waldhof Mannheim,34,13,11,10,47,50,-3,37,37,50
1984/1985,1985,7,FC Uerdingen 05,34,14,8,12,57,52,5,36,36,50
1984/1985,1985,8,FC Schalke 04,34,13,8,13,63,62,1,34,34,47
1984/1985,1985,9,VfL Bochum,34,12,10,12,52,54,-2,34,34,46
1984/1985,1985,10,VfB Stuttgart,34,14,5,15,79,59,20,33,33,47
1984/1985,1985,11,1. FC Kaiserslautern,34,11,11,12,56,60,-4,33,33,44
1984/1985,1985,12,Eintracht Frankfurt,34,10,12,12,62,67,-5,32,32,42
1984/1985,1985,13,Bayer 04 Leverkusen,34,9,13,12,52,54,-2,31,31,40
1984/1985,1985,14,Borussia Dortmund,34,13,4,17,51,65,-14,30,30,43
1984/1985,1985,15,Fortuna Düsseldorf,34,10,9,15,53,66,-13,29,29,39
1984/1985,1985,16,Arminia Bielefeld,34,8,13,13,46,61,-15,29,29,37
1984/1985,1985,17,Karlsruher SC,34,5,12,17,47,88,-41,22,22,27
1984/1985,1985,18,Eintracht Braunschweig,34,9,2,23,39,79,-40,20,20,29
1985/1986,1986,1,Bayern München,34,21,7,6,82,31,51,49,49,70
1985/1986,1986,2,SV Werder Bremen,34,20,9,5,83,41,42,49,49,69
1985/1986,1986,3,FC Uerdingen 05,34,19,7,8,63,60,3,45,45,64
1985/1986,1986,4,Borussia Mönchengladbach,34,15,12,7,65,51,14,42,42,57
1985/1986,1986,5,VfB Stuttgart,34,17,7,10,69,45,24,41,41,58
1985/1986,1986,6,Bayer 04 Leverkusen,34,15,10,9,63,51,12,40,40,55
1985/1986,1986,7,Hamburger SV,34,17,5,12,52,35,17,39,39,56
1985/1986,1986,8,SV Waldhof Mannheim,34,11,11,12,41,44,-3,33,33,44
1985/1986,1986,9,VfL Bochum,34,14,4,16,55,57,-2,32,32,46
1985/1986,1986,10,FC Schalke 04,34,11,8,15,53,58,-5,30,30,41
1985/1986,1986,11,1. FC Kaiserslautern,34,10,10,14,49,54,-5,30,30,40
1985/1986,1986,12,1. FC Nürnberg,34,12,5,17,51,54,-3,29,29,41
1985/1986,1986,13,1. FC Köln,34,9,11,14,46,59,-13,29,29,38
